source,target
Chris Weitz,Rob Minkoff
Anthony Russo,Joe Wright
Brett Ratner,Steve Hickner
Steven Spielberg,Oliver Stone
Christopher Nolan,Alejandro G. Iñárritu
James Wan,Ron Howard
Mike Newell,Gavin Hood
Kevin Reynolds,Dean DeBlois
Sam Mendes,Paul Greengrass
Baz Luhrmann,George Miller
Steven Spielberg,Shawn Levy
David Ayer,David Fincher
Matt Reeves,Brad Bird
Barry Sonnenfeld,Alex Proyas
Steven Spielberg,Gavin Hood
Martin Scorsese,Jon Turteltaub
David Yates,Bill Condon
Barry Sonnenfeld,Richard Donner
Ridley Scott,Dean Parisot
Brett Ratner,David Bowers
Michael Bay,M. Night Shyamalan
Doug Liman,David Fincher
Ridley Scott,Edward Zwick
Brett Ratner,Joe Wright
Robert Zemeckis,Oliver Stone
Martin Scorsese,James Bobin
Ridley Scott,Alex Proyas
Steven Spielberg,Ron Howard
Marc Forster,Bill Condon
Tom Shadyac,Wolfgang Petersen
Lana Wachowski,Shawn Levy
Andrew Stanton,Phillip Noyce
Bryan Singer,Alejandro G. Iñárritu
Michael Bay,Lee Tamahori
Andrew Adamson,NA
Brett Ratner,Peter Ramsey
Joseph Kosinski,Lee Tamahori
Roland Emmerich,Ron Howard
James Cameron,Robert Schwentke
Ridley Scott,Peter Weir
Lana Wachowski,Ron Howard
Rob Cohen,Eric Darnell
Sam Mendes,Robert Schwentke
Peter Jackson,NA
Michael Bay,Dean Parisot
Matt Reeves,Wolfgang Petersen
Peter Jackson,Alejandro G. Iñárritu
Michael Bay,Edward Zwick
J.J. Abrams,Joe Wright
Tom Shadyac,Eric Darnell
Doug Liman,Oliver Stone
Christopher Nolan,Carlos Saldanha
Sam Raimi,Tom McGrath
David Yates,Alfonso Cuarón
Marc Webb,Alejandro G. Iñárritu
Joseph Kosinski,Edward Zwick
Steven Spielberg,M. Night Shyamalan
Tom Shadyac,Shawn Levy
Kevin Reynolds,Oliver Stone
Christopher Nolan,Guy Ritchie
Peter Berg,Bill Condon
Michael Bay,Richard Donner
David Yates,Matt Birch
Peter Berg,Louis Leterrier
James Cameron,John Woo
Ridley Scott,Paul Greengrass
Martin Campbell,Alex Proyas
Martin Scorsese,Byron Howard
Robert Stromberg,Oliver Stone
David Yates,Chris Columbus
Dan Scanlon,Hironobu Sakaguchi
Michael Bay,Breck Eisner
Joseph Kosinski,Jon M. Chu
Martin Campbell,Richard Donner
Christopher Nolan,Joel Schumacher
Mark Andrews,Joe Wright
Robert Zemeckis,M. Night Shyamalan
McG,Richard Donner
Marc Forster,Chris Columbus
Ridley Scott,Phillip Noyce
Brett Ratner,NA
Steven Spielberg,Alessandro Carloni
David Ayer,Jonathan Liebesman
Zack Snyder,Guy Ritchie
Marc Forster,Robert Schwentke
Andrew Adamson,Chris Columbus
Baz Luhrmann,Alex Proyas
Mike Newell,Edward Zwick
David Yates,John McTiernan
Bryan Singer,Guy Ritchie
Michael Bay,NA
Joseph Kosinski,Louis Leterrier
Jon Favreau,M. Night Shyamalan
David Ayer,Joe Johnston
David Fincher,Wolfgang Petersen
Doug Liman,Christopher McQuarrie
Dean DeBlois,Michael Apted
Mike Newell,Ang Lee
