source,target
Danny DeVito,John Hamburg
Steven Spielberg,Daniel Algrant
Andrew Davis,Kevin Allen
Tarsem Singh,Jodie Foster
Andrzej Bartkowiak,John R. Leonetti
George Miller,William Brent Bell
NA,Colin Higgins
Roger Spottiswoode,Sidney Lumet
Brad Silberling,Bruce McCulloch
Michael Lembeck,Stig Bergqvist
Christopher Nolan,Jeff Nichols
Paul W.S. Anderson,Tyler Perry
Wych Kaosayananda,John R. Leonetti
John Whitesell,Malcolm D. Lee
Dan Scanlon,Robert Altman
NA,Steve McQueen
Denis Villeneuve,Oliver Parker
Kenny Ortega,Scott Speer
David Ayer,Katsuhiro Ôtomo
Michael Bay,Ricky Gervais
David O. Russell,Ken Scott
Dan Scanlon,Terry Zwigoff
Peter Lord,Kirk Jones
David Cronenberg,Ken Kwapis
Martin Campbell,Andrew Douglas
Duncan Jones,Billy Ray
Ericson Core,John Hillcoat
Akiva Schaffer,Christian Ditter
James Bobin,Michael O. Sajbel
Nora Ephron,Woody Allen
James Cameron,Xavier Gens
Ron Underwood,John Hillcoat
Paul Bolger,Barbra Streisand
Frank Coraci,Tony Goldwyn
Sam Weisman,Patrick Tatopoulos
Brett Ratner,Kevin Tancharoen
Mike Newell,Robert Altman
Gary Trousdale,Leonard Nimoy
John Milius,Richard Fleischer
Keenen Ivory Wayans,J.B. Rogers
Harold Ramis,Tony Kaye
Thomas Carter,Roger Kumble
Frank Oz,Richard Benjamin
Karey Kirkpatrick,Ethan Coen
Michael Bay,Kevin Tancharoen
Steven Spielberg,Robert Altman
Tarsem Singh,John Polson
Stephen Norrington,Don Mancini
Peter Jackson,Michael Haneke
Jon Turteltaub,Alejandro Monteverde
Rob Minkoff,Henry Joost
Karey Kirkpatrick,Kevin Smith
Milos Forman,David Mirkin
Adrian Lyne,Dennie Gordon
Howard Deutch,Joseph Kahn
Renny Harlin,Carter Smith
Tony Scott,Tony Goldwyn
Paul Weitz,Mary McGuckian
Walter Salles,Lasse Hallström
Pierre Coffin,Miguel Arteta
Dean DeBlois,David Anspaugh
Joe Wright,Frank Nissen
Oliver Stone,Alejandro Monteverde
Peter Hyams,Neil LaBute
Nancy Meyers,John Wells
Matt Reeves,Mark Rosman
Paul Weitz,Jerry Zaks
Dean DeBlois,Mike Barker
Joe Johnston,Mark Mylod
Keenen Ivory Wayans,Woody Allen
Ruben Fleischer,Boaz Yakin
David Cronenberg,Stephen Daldry
Michael Lehmann,Tim McCanlies
Uwe Boll,Ronny Yu
Andrew Stanton,Robert Harmon
Martin Scorsese,Andrew Douglas
F. Gary Gray,Jeff Wadlow
John Pasquin,David Wain
Michael Bay,Zack Ward
NA,Thomas Bezucha
Paul Weitz,Mira Nair
JeanJacques Annaud,Nigel Cole
Jon Favreau,Terry Zwigoff
Stephen Hopkins,Michael Winterbottom
James Wong,Colin Strause
Peter Howitt,Catherine Hardwicke
Tom Shadyac,Andrew Douglas
Ang Lee,Mike Binder
Mark Waters,Robert Towne
George P. Cosmatos,Michael Cimino
Tarsem Singh,John Wells
Steve Carr,Edward Norton
Akiva Schaffer,Hugh Wilson
David Lynch,Catherine Hardwicke
Sam Raimi,Fede Alvarez
Adrian Lyne,Jonathan Lynn
David Cronenberg,Stephen Kay
Paul Feig,Mark Mylod
James Cameron,Jack Smight
Rob Letterman,Nicholas Hytner
Peter Lord,Mike Hodges
Brad Bird,Daniel Barnz
Oliver Stone,Andrew Jarecki
NA,Steve Rash
Pierre Coffin,Richard Linklater
Betty Thomas,Ben Falcone
Clint Eastwood,Charles Stone III
James Cameron,Howard Zieff
Martin Campbell,Rodrigo Cortés
Steven Spielberg,Jonathan Teplitzky
Jon Favreau,Bart Freundlich
Jon Turteltaub,Scott Walker
Cedric NicolasTroyan,Thea Sharrock
Harold Ramis,Don Scardino
Lawrence Kasanoff,John Hamburg
John McTiernan,Steve Beck
Spike Jonze,Russell Crowe
Andrew Adamson,Sidney J. Furie
Michael Bay,Brian A Miller
Peter Hyams,Mel Brooks
Sergey Bodrov,Neil LaBute
Rob Reiner,Liz Friedlander
Julie Taymor,Asger Leth
Doug Liman,Bart Freundlich
NA,Paul Abascal
Peter Hewitt,Charles Martin Smith
David R. Ellis,Wes Craven
Robert Zemeckis,Michael Haneke
Judd Apatow,Camille Delamarre
Harold Ramis,John Francis Daley
Milos Forman,Tobe Hooper
Paul Weitz,John Curran
Pitof,Jessie Nelson
John Pasquin,Tom Vaughan
Steven Spielberg,Rodrigo Cortés
Kevin Donovan,Michael McCullers
Kevin Bray,George Tillman Jr.
David Gordon Green,Christian Alvart
Florian Henckel von Donnersmarck,Uli Edel
Roger Allers,Richard Benjamin
Betty Thomas,Jeff Wadlow
Burr Steers,Reginald Hudlin
Rob Cohen,Jeff Nichols
Brad Bird,Brandon Camp
Stefen Fangmeier,Christian Carion
Tom Tykwer,Uli Edel
Yarrow Cheney,Michael Winterbottom
Stephen Norrington,Oleg Stepchenko
Walter Hill,Hyungrae Shim
David R. Ellis,Nimród Antal
Gary Winick,Steve Barron
Warren Beatty,Elaine May
George P. Cosmatos,John G. Avildsen
John Hamburg,Mark Pellington
Robert Schwentke,Mike Binder
Wayne Wang,Hugh Hudson
James Cameron,Nick Gomez
Jon Turteltaub,Vic Armstrong
Rob Minkoff,Matthew Diamond
Raja Gosnell,Mennan Yapo
Paul Verhoeven,Steve Rash
Ron Underwood,Harry Elfont
Clint Eastwood,Sergio Leone
Shekhar Kapur,Moustapha Akkad
Kenneth Branagh,Britt Allcroft
Joel Schumacher,Alfred Hitchcock
Antoine Fuqua,Michael Winterbottom
Garry Marshall,Sanaa Hamri
Gore Verbinski,Clare Kilner
Raja Gosnell,Takashi Shimizu
Bo Welch,Robin Budd
JeanJacques Annaud,Atom Egoyan
Mike Nichols,Charles HermanWurmfeld
Warren Beatty,Jerry Jameson
Ron Clements,Ava DuVernay
Pitof,John Curran
David Cronenberg,Norman Jewison
Anthony Russo,Steven Shainberg
Brad Silberling,Trey Parker
Michael Patrick King,Daniel Sackheim
Stephen Norrington,Chris Nahon
Randall Wallace,Philip Kaufman
Eric Darnell,Terry Zwigoff
NA,Paul Gross
John Woo,Stephen Chow
Danny Boyle,Ethan Coen
Andy Tennant,Charles HermanWurmfeld
David Yates,Allen Coulter
McG,Rowdy Herrington
Steve Carr,Bob Rafelson
Shekhar Kapur,Hugh Hudson
Ron Maxwell,George Tillman Jr.
Steven Seagal,Kevin Smith
David Cronenberg,Steve Miner
John Schultz,Jake Kasdan
Phil Alden Robinson,Janusz Kaminski
John Pasquin,Jason Friedberg
Annabel Jankel,Julie Anne Robinson
Duncan Jones,Nicholas Hytner
Peter Howitt,Irwin Winkler
Barbra Streisand,Anne Fletcher
Sam Raimi,Susanne Bier
Robert Zemeckis,Trent Cooper
Ron Howard,Terry Zwigoff
Henry Jaglom,Bill Paxton
John Madden,Tom Reeve
Stephen Frears,Geoffrey Sax
Reginald Hudlin,Wes Craven
Roger Donaldson,Shana Feste
Luc Besson,John Curran
John Whitesell,Hark Tsui
Mark Dindal,Jun Falkenstein
Stephen Norrington,Bob Spiers
Ivan Reitman,Richard Benjamin
Iain Softley,Forest Whitaker
Curtis Hanson,George Tillman Jr.
Renny Harlin,Brian TrenchardSmith
Joe Dante,James Bridges
Jon Hurwitz,Alan Poul
Guy Ritchie,Mike Leigh
Peter Hyams,Ava DuVernay
Michael CatonJones,Saul Dibb
Stanley Kubrick,Richard Attenborough
Andrew Niccol,Scott Hicks
Renny Harlin,Laurence Dunmore
JeanJacques Annaud,Kevin Spacey
Richard LaGravenese,Ethan Coen
Henry Selick,Chris Nahon
Alejandro Amenábar,Callie Khouri
Jesse Dylan,J.B. Rogers
John Landis,Luke Greenfield
Oliver Stone,Jeff Nichols
George A. Romero,Leonard Nimoy
Kevin Costner,Richard Kelly
Sam Mendes,Morten Tyldum
Tim Story,Benson Lee
Raja Gosnell,Steve Rash
John Gray,Ulu Grosbard
Oliver Parker,Irwin Winkler
Rob Cohen,Wayne Kramer
NA,Jonathan Jakubowicz
Nancy Meyers,Jerry Zaks
Andrew Bergman,Gary David Goldberg
Pete Docter,Guillaume Ivernel
NA,Scott Walker
Curtis Hanson,Danny Cannon
David Gordon Green,Chris Rock
David R. Ellis,Geoffrey Sax
Mark Waters,Joshua Michael Stern
CostaGavras,Scott Hicks
Reginald Hudlin,Jake Kasdan
Roger Spottiswoode,Amy Heckerling
Harold Ramis,Paul Haggis
David Lynch,Marc F. Adler
Peter Jackson,Jérôme Salle
Ridley Scott,Vicente Amorim
Tim Burton,Susanne Bier
Joe Dante,Richard Benjamin
Kevin Reynolds,Noel Marshall
NA,Anand Tucker
Ron Howard,Mike Marvin
Andrzej Bartkowiak,Tyler Perry
James Cameron,Rick Rosenthal
Zack Snyder,Gillian Armstrong
NA,Michael Dowse
Sergey Bodrov,Jon Lucas
Andrew Bergman,Hugh Wilson
John Carpenter,Michael Ritchie
Wes Craven,Etan Cohen
David Slade,Fernando Meirelles
Gabriele Muccino,Woody Allen
Alan Parker,Chris Noonan
Russell Mulcahy,Norman Jewison
Evan Goldberg,Jake Kasdan
Wes Craven,Nicholas Stoller
Oliver Stone,Kasi Lemmons
Spike Jonze,William Brent Bell
Walt Becker,John Duigan
Christopher Nolan,Nicolas Winding Refn
Brad Silberling,Andrew Fleming
Adrian Lyne,JeanPaul Rappeneau
Mike Newell,Bruce Paltrow
Angelina Jolie Pitt,Jodie Foster
Paul King,Woody Allen
Ridley Scott,James Watkins
Kenneth Branagh,Kasi Lemmons
Jay Roach,Steve Beck
Todd Phillips,Mira Nair
Joel Zwick,Kirk Jones
Rob Cohen,Robert Iscove
Taylor Hackford,E. Elias Merhige
David Zucker,Steve Pink
Ron Howard,John Hoffman
Bobby Farrelly,Bille Woodruff
Ridley Scott,James Marsh
Doug Lefler,Sharon Maguire
NA,Nicholas Hytner
Peter Weir,Courtney Solomon
Chris Columbus,James Schamus
Todd Phillips,Harry Elfont
Henry Selick,Bruce McCulloch
Kenny Ortega,James Gray
Christophe Gans,Hugh Hudson
Tim Burton,Michael Dougherty
NA,John Boorman
Frank Darabont,Steve Barron
Danny Boyle,JeanPaul Rappeneau
Zack Snyder,Michael Mayer
Ridley Scott,Denzel Washington
Rob Minkoff,Cory Edwards
Thomas Carter,Kevin Rodney Sullivan
David Fincher,Julian Jarrold
Judd Apatow,Bruce McCulloch
Nora Ephron,Charles HermanWurmfeld
Colin Strause,Joan Chen
Stephen Norrington,Jonathan English
McG,Gillian Armstrong
James Wan,Andrés Muschietti
J.J. Abrams,Morten Tyldum
Terry Gilliam,Tony Goldwyn
Nora Ephron,Tyler Perry
Burr Steers,Jonathan Lynn
Steven Soderbergh,Daniel Algrant
Tony Scott,Alejandro Monteverde
Roland Emmerich,Jesse Vaughan
NA,Jeff Nichols
Ron Shelton,Marcos Siega
Rob Letterman,Gaspar Noé
Tony Bancroft,Nelson McCormick
Jorge R. Gutiérrez,Jared Hess
Julie Taymor,Scott Hicks
Barbra Streisand,Jonathan Lynn
Alfonso Cuarón,John Boorman
Wes Craven,Charles Shyer
Melville Shavelson,Alan Poul
Martin Scorsese,Tommy Lee Jones
Peter Berg,Michael Mayer
Bob Fosse,Jeannot Szwarc
Todd Phillips,Katt Shea
Albert Hughes,Christian Carion
Donald Petrie,Richard Attenborough
Ron Underwood,Billy Ray
Robert Luketic,Leonard Nimoy
Randall Wallace,Patricia Riggen
David Fincher,Peter Kosminsky
Adrian Lyne,Tim Robbins
John Glen,Norman Jewison
John McTiernan,Nicholas Hytner
Steven Soderbergh,Britt Allcroft
Stephen Frears,Craig Mazin
Barry Levinson,Bonnie Hunt
David O. Russell,Nicholas Meyer
JeanPierre Jeunet,David Lean
Joel Coen,John Maybury
Warren Beatty,Hark Tsui
Steven Spielberg,Rob Zombie
Bill Condon,Kasi Lemmons
John McTiernan,John Boorman
Mark A.Z. Dippé,Mic Rodgers
Colin Strause,Dennie Gordon
Bryan Singer,James Foley
Peter Hyams,J.C. Chandor
Doug Liman,Udayan Prasad
Nancy Meyers,John Patrick Shanley
Walter Salles,Liliana Cavani
Akiva Schaffer,Niki Caro
Gary Fleder,Tom Vaughan
Rob Minkoff,Wayne Kramer
James Mangold,Sean McNamara
Andrew Niccol,Neil Marshall
Eric Darnell,Diane English
Tim Burton,Mark L. Lester
Ericson Core,Jonathan Glazer
Stanley Kubrick,Richard Fleischer
Brett Ratner,Mark L. Lester
Bill Condon,Erik White
Dennis Dugan,Mike Binder
Barbra Streisand,Kevin Smith
Jon Turteltaub,Susanne Bier
Paul Weitz,Jonathan Jakubowicz
Barry Levinson,Tony Goldwyn
Andrzej Bartkowiak,Rachel Talalay
Sam Raimi,Vicky Jenson
Peter Berg,Drew Barrymore
Gary Trousdale,Wayne Thornley
John Whitesell,Kimberly Peirce
Gordon Chan,Steve Miner
Zack Snyder,Martin McDonagh
Michel Gondry,Vic Armstrong
Ben Stiller,Amy Heckerling
Brian De Palma,Mike Binder
John Schultz,Hugh Wilson
Kathryn Bigelow,Shana Feste
Lawrence Kasdan,James Bridges
Rob Minkoff,Steven Shainberg
David Fincher,Tommy Lee Jones
Joel Schumacher,Gregor Jordan
Kathryn Bigelow,Mike Binder
John Milius,Steve Rash
Andrew Davis,Nelson McCormick
Keenen Ivory Wayans,Dwight H. Little
Barbra Streisand,Scott Hicks
Carlos Saldanha,Cory Edwards
Danny DeVito,David Wain
Peyton Reed,Chris Robinson
George Lucas,Matthew Robbins
Don Bluth,Joseph Sargent
Kevin Macdonald,E. Elias Merhige
Christian Duguay,JeanMarie Poiré
Frederik Du Chau,Jerry Jameson
Robert Zemeckis,Michael Mayer
David Silverman,Sidney Lumet
Randall Wallace,Mario Van Peebles
David Slade,John Hillcoat
Oliver Stone,James Ivory
Danny Boyle,Tom Vaughan
Peter Jackson,Peter Cattaneo
John Woo,Rodrigo Cortés
Peter Segal,Nelson McCormick
D.J. Caruso,Takashi Shimizu
Ron Shelton,Fred Durst
Cameron Crowe,Bonnie Hunt
Thomas Carter,Ken Scott
Marc Webb,Peter Cattaneo
Joseph Kosinski,Albert Brooks
Neil Burger,Ed Harris
Rod Lurie,Sanaa Hamri
John Dahl,Janusz Kaminski
Bryan Singer,Brad Anderson
Ridley Scott,Peter Cattaneo
Will Finn,Kevin Tancharoen
Ivan Reitman,Steve Trenbirth
Stephen Herek,James Gray
Michael Apted,Tommy Lee Jones
Stephen Hopkins,Ava DuVernay
Ron Howard,James Ivory
JeanJacques Annaud,Steve Rash
Donald Petrie,Bob Rafelson
Alejandro Amenábar,Atom Egoyan
Tim Miller,Camille Delamarre
Milos Forman,Willard Huyck
Wes Craven,Kevin Smith
Carl Rinsch,Nicolas Winding Refn
Peter Jackson,Brad Anderson
Brett Ratner,Martin McDonagh
NA,Jack Smight
Chris Columbus,Robert Harmon
Tarsem Singh,Ed Harris
Peter Segal,Anthony Bell
Andy Tennant,Harry Elfont
Rod Lurie,E. Elias Merhige
Wes Craven,Christian Ditter
John Lee Hancock,Todd Haynes
Steven Seagal,Woody Allen
Paul McGuigan,Susanna White
Steven Spielberg,Brian Koppelman
Steve Carr,Mira Nair
Pitof,Anand Tucker
Mikael Salomon,Bonnie Hunt
Doug Lefler,Atom Egoyan
Frank Miller,Bill Paxton
Andrew Bergman,Woody Allen
William Malone,JeanMarie Poiré
Denis Villeneuve,Boaz Yakin
Peter Chelsom,Bart Freundlich
John Glen,Alexandre Aja
Harald Zwart,Kevin Allen
Olivier Megaton,Ariel Vromen
Andrew Stanton,Julien Temple
Mick Jackson,Jonathan Glazer
Larry Charles,Marcos Siega
John G. Avildsen,Tobe Hooper
Charles Shyer,Charles S. Dutton
Rob Marshall,Jake Paltrow
Rob Cohen,Bryan Barber
Michael CatonJones,Sidney Lumet
Baltasar Kormákur,Patricia Riggen
Shekhar Kapur,Richard Attenborough
Matt Reeves,Derek Cianfrance
James Gunn,Phil Traill
Michael Patrick King,Mark Rosman
John Lasseter,Brad Anderson
Bill Condon,Robert Iscove
NA,Diane English
Peter Segal,Chris Koch
David Lynch,Jonathan Hensleigh
Roland Emmerich,Mort Nathan
Tarsem Singh,Billy Ray
D.J. Caruso,Shana Feste
John Pasquin,Victor Salva
Harold Ramis,Fred Wolf
Pierre Morel,Corey Yuen
Irwin Winkler,David Leland
John Woo,Wayne Kramer
Bobby Farrelly,Michael Dinner
McG,Brad Anderson
NA,Peter Kosminsky
Mark Waters,Mark Rosman
George Clooney,Jessie Nelson
David Gordon Green,Lee Toland Krieger
Olivier Megaton,Jonathan Levine
J.J. Abrams,Brad Anderson
Peter Sohn,Mary Lambert
Pitof,Brandon Camp
Terence Young,Lewis Gilbert
Peter Berg,Anthony Silverston
Carlos Saldanha,Julian Jarrold
Ivan Reitman,Alfred Hitchcock
Karey Kirkpatrick,Miguel Arteta
Sam Mendes,Emilio Estevez
Dean DeBlois,Mark L. Lester
Tony Scott,Gregor Jordan
JeanPierre Jeunet,John Wells
Ben Affleck,Rand Ravich
Malcolm D. Lee,Lee Daniels
Guillermo del Toro,Brad Anderson
Mark Neveldine,Andrew Morahan
NA,Ronald Neame
William Friedkin,Callie Khouri
Roland Emmerich,Rodman Flender
Don Bluth,Jeannot Szwarc
Marc F. Adler,David Mirkin
Dan Scanlon,Anthony Silverston
John Lasseter,Stefan Ruzowitzky
Joe Johnston,Joel Gallen
Olivier Megaton,Ted Demme
George Miller,Sara Sugarman
Bill Condon,James Ivory
Paul Weitz,Rodrigo Cortés
Michael Apted,Martin Weisz
Steven Soderbergh,Trent Cooper
Ben Stiller,Anand Tucker
David Cronenberg,Martha Coolidge
NA,James Ivory
John McTiernan,Cyrus Nowrasteh
Ridley Scott,Vidhu Vinod Chopra
Mark Steven Johnson,Joe Nussbaum
Colin Trevorrow,Lars von Trier
Andrzej Bartkowiak,David Palmer
Stanley Kubrick,Sidney Lumet
Stephen Herek,Tyler Perry
Karey Kirkpatrick,Callie Khouri
Stephen Frears,Woody Allen
Guillermo del Toro,Stefan Ruzowitzky
Yarrow Cheney,Andrew Fleming
Griffin Dunne,James Bridges
NA,Tommy Lee Jones
Michael Lembeck,Fred Durst
Peter Hyams,Christian Volckman
John Lee Hancock,Sean McNamara
Sydney Pollack,Robert Altman
Marc Forster,Alain Resnais
Duncan Jones,Lone Scherfig
Peter Chelsom,Robert Harmon
Jay Russell,Robert Towne
Lana Wachowski,Dito Montiel
Ron Underwood,Mike Marvin
Brian De Palma,Robert Altman
Antoine Fuqua,Andrew Fleming
Dennie Gordon,Michael Tollin
Stephen Sommers,Michael Chapman
George Miller,Mark L. Lester
JeanPierre Jeunet,Pascal Chaumeil
Scott Stewart,Troy Nixey
David Lynch,Alexander Payne
Kirk De Micco,Perry Andelin Blake
Harold Ramis,John Schlesinger
David Cronenberg,Vincenzo Natali
Edward Zwick,Dennis Iliadis
Steven Soderbergh,Steven Shainberg
Rod Lurie,Sylvain White
Jonathan Lynn,Ethan Coen
David Zucker,Jason Friedberg
Simon Wincer,Tom Vaughan
Chris Weitz,James Fargo
James Gunn,Peter Cattaneo
Ron Shelton,John McNaughton
Garry Marshall,Mennan Yapo
Peter Howitt,Woody Allen
Chris Miller,Craig Brewer
Paul Verhoeven,James Ivory
Chuck Russell,Gary Halvorson
Harold Becker,Bill Paxton
Barry Sonnenfeld,Christopher Cain
John Lasseter,Tom Holland
NA,Ric Roman Waugh
Don Bluth,Andrew Fleming
John Milius,Vic Armstrong
Stephen Hopkins,Alejandro Monteverde
Peter Jackson,Theodore Melfi
Harold Ramis,Richard Benjamin
Sam Raimi,Michael Polish
Lana Wachowski,Gregory Jacobs
James Mangold,Josef Rusnak
Andy Tennant,Anthony Bell
Doug Lefler,Rowan Joffe
Nicholas Stoller,Hugh Johnson
Steven Spielberg,Jamie Blanks
Jonathan Mostow,Brad Anderson
Nancy Meyers,Robert Altman
Richard LaGravenese,Bruce Hunt
Charles Shyer,Michael Rymer
Frank Coraci,Joe Nussbaum
Brad Silberling,John Fortenberry
David Fincher,Mark Romanek
Paul W.S. Anderson,Audrey Wells
NA,Rick Rosenthal
Alfonso Cuarón,James Watkins
Brian De Palma,John Boorman
Randall Wallace,Gregory Nava
Brian Levant,Bonnie Hunt
Tim Burton,Christopher Cain
John McTiernan,Wayne Beach
Michael Lehmann,Harry Elfont
John Moore,Lance Hool
Doug Lefler,Tomas Alfredson
Michael Bay,Danny Leiner
NA,Juan Carlos Fresnadillo
Spike Lee,E. Elias Merhige
John Glen,Ariel Vromen
Nick Cassavetes,Jonathan Hensleigh
Joe Johnston,Steve Gomer
Michael Lembeck,Joshua Michael Stern
Jaume ColletSerra,Sanaa Hamri
John Glen,Lewis Gilbert
Justin Chadwick,Bille August
James Gunn,Ryûhei Kitamura
Alex Proyas,Derek Cianfrance
Guillermo del Toro,Davis Guggenheim
Chris Buck,Peter Cattaneo
Peter Billingsley,Fred Durst
Shawn Levy,Peter Kassovitz
Phillip Noyce,Denzel Washington
Chris Wedge,Andrea Di Stefano
Rod Lurie,John Hillcoat
Michael Apted,Brad Anderson
Bill Condon,John Ottman
Wes Craven,Rupert Wainwright
McG,Theodore Melfi
Steven Spielberg,Alain Resnais
Shawn Levy,Mark Romanek
Ron Howard,Mary Lambert
Ron Clements,Robert Iscove
Richard Curtis,Michael Radford
Mark Pellington,Alexander Payne
Burr Steers,Woody Allen
Jay Russell,Mira Nair
Anne Fletcher,Nanette Burstein
Eric Leighton,Gina PrinceBythewood
Tim Story,Ric Roman Waugh
D.J. Caruso,Daniel Barnz
Elaine May,JeanPaul Rappeneau
Kevin Smith,Chris Rock
Ang Lee,Lone Scherfig
Josh Trank,Tommy Lee Jones
David Mamet,Rowdy Herrington
Thomas Carter,Gavin O'Connor
Ron Clements,Lance Rivera
Curtis Hanson,Bille Woodruff
Nimród Antal,Justin Zackham
Joe Johnston,Peter Kassovitz
Anthony Minghella,Robert Altman
Barbet Schroeder,Janusz Kaminski
Mark Pellington,Woody Allen
Brian De Palma,Terry George
Antoine Fuqua,Alejandro Monteverde
Brian Levant,Mel Brooks
Sean Penn,Brett Leonard
Nimród Antal,Miguel Sapochnik
Greg Mottola,David Wain
Will Gluck,Steve McQueen
Dennis Dugan,John Hoffman
Spike Lee,Tyler Perry
Wes Craven,J.B. Rogers
Paul Feig,Tina Gordon Chism
Phillip Noyce,Stephan Elliott
Tony Gilroy,Juan Carlos Fresnadillo
David Gordon Green,Miguel Arteta
Julie Anne Robinson,Woody Allen
Ken Kwapis,Tom Vaughan
Andrew Adamson,Mark Herman
Lee Unkrich,Bob Saget
John Milius,Xavier Gens
Frank Darabont,George Stevens
Bryan Singer,George Hickenlooper
Dan Scanlon,Olivier Assayas
Matt Reeves,Julian Schnabel
Sam Raimi,Mike Judge
Peter Berg,John H. Lee
George Lucas,Matt Williams
Jesse Dylan,Richard Benjamin
Anne Fletcher,Chris Noonan
Sam TaylorJohnson,Jonathan Levine
Brad Peyton,Ric Roman Waugh
Andy Fickman,Gabor Csupo
Ron Clements,Jesse Vaughan
Barry Levinson,Nancy Walker
Diane Keaton,Tim Robbins
Roland Emmerich,Mark Brown
George Clooney,Michael Moore
Harold Becker,Tony Goldwyn
James Cameron,Ernest R. Dickerson
NA,David Raynr
Steven Soderbergh,Michael Dougherty
Brad Silberling,Nick Gomez
Clint Eastwood,Joshua Logan
Mike Newell,Blair Hayes
Phillip Noyce,James Foley
Irwin Winkler,John Gatins
Jon Turteltaub,Franco Zeffirelli
Sngmoo Lee,Jason Friedberg
John Milius,Robert Harmon
Harold Ramis,Jessie Nelson
Roger Spottiswoode,Dennis Iliadis
Seth Gordon,Jeff Nichols
David R. Ellis,Corey Yuen
Barbra Streisand,Troy Miller
Evan Goldberg,Tom Hanks
David Silverman,J.C. Chandor
Wayne Wang,Werner Herzog
Richard Loncraine,Charles HermanWurmfeld
Steven Seagal,Bob Rafelson
NA,Peter Cattaneo
Carlos Saldanha,Lone Scherfig
NA,Vicky Jenson
Don Bluth,Andrew Jarecki
Donald Petrie,Mike Bigelow
David Gordon Green,Richard Linklater
Richard LaGravenese,Todd Graff
Kevin Smith,Craig Mazin
Richard Curtis,Richard Eyre
Martin Scorsese,Bob Saget
Wolfgang Petersen,Todd Field
Paul Greengrass,Peter Cattaneo
Jonathan Demme,William A. Fraker
Milos Forman,Don Michael Paul
NA,Rodman Flender
Renny Harlin,Peter Farrelly
Ang Lee,HsiaoHsien Hou
John McTiernan,Brian Koppelman
Donald Petrie,Fred Dekker
Oliver Stone,Emilio Estevez
Andrzej Bartkowiak,Mike Leigh
Steven Spielberg,Paul Schrader
Oliver Stone,Julian Schnabel
Nicholas Stoller,Jason Friedberg
Peter Jackson,Cheryl Dunye
Michael Bay,Mike Judge
Joel Schumacher,Albert Brooks
Roger Donaldson,David Nutter
Bobby Farrelly,Bob Clark
Clint Eastwood,Alfred Hitchcock
Chris Columbus,Wil Shriner
Bobby Farrelly,Dave Borthwick
Louis Leterrier,HsiaoHsien Hou
Peter Howitt,Ben Falcone
James Wan,Stéphane Aubier
Lana Wachowski,John Stainton
David Twohy,Brian Koppelman
Edgar Wright,Jason Moore
Adam Shankman,Xavier Gens
Ryan Murphy,Tom McCarthy
Peter Howitt,Richard Attenborough
Catherine Hardwicke,Niki Caro
Zack Snyder,Jane Campion
Jay Roach,Kenneth Johnson
Edgar Wright,Robert Harmon
McG,Mike Judge
Robert Rodriguez,Marcos Siega
Jaume ColletSerra,Sylvain White
James Wong,Kevin Allen
Michael Lembeck,Amy Heckerling
Andrew Niccol,Tyler Perry
Ulu Grosbard,Tom Vaughan
Martin Campbell,John Erick Dowdle
Raja Gosnell,Peter Atencio
Quentin Tarantino,Rob Zombie
Andy Fickman,Troy Nixey
Sam Mendes,Alan Rudolph
Robert Zemeckis,Abel Ferrara
Joe Johnston,James Isaac
Renny Harlin,Josef Rusnak
Rob Reiner,Thomas Bezucha
Dennis Dugan,Robert Iscove
Nora Ephron,Michael Moore
Dennie Gordon,Jonathan Levine
Bill Condon,Anthony Silverston
Frank Marshall,John Schlesinger
John Carpenter,Bernardo Bertolucci
David Fincher,Michael Polish
Michael Apted,Gene Quintano
Simon West,Dennis Iliadis
Seth Gordon,Chris Robinson
David Slade,Jonathan Glazer
John McTiernan,Peter Kassovitz
William Friedkin,Sidney Lumet
Stephen Frears,Menno Meyjes
Elaine May,Woody Allen
Scott Hicks,Hayao Miyazaki
Mike Nichols,Bart Freundlich
Andy Fickman,Carter Smith
Roger Donaldson,Mark Piznarski
Steven Soderbergh,Brian Koppelman
Anthony Russo,Jon Poll
Rob Minkoff,Josh Schwartz
Steven Soderbergh,James Foley
Karey Kirkpatrick,Grant Heslov
Brian Helgeland,Craig R. Baxley
David Lynch,David Lean
Richard Donner,Randal Kleiser
David Leland,John Luessenhop
Michael Rymer,Lasse Hallström
Steve Hickner,Kenneth Lonergan
Antoine Fuqua,John Boorman
Richard Shepard,Alexander Payne
Duncan Jones,Lenny Abrahamson
Wes Craven,Gavin O'Connor
John Lasseter,Stuart Gordon
M. Night Shyamalan,Kenneth Lonergan
Peter Hyams,Juan Carlos Fresnadillo
Don Bluth,Kevin Tancharoen
Nora Ephron,Alejandro Monteverde
Andy Fickman,Ole Bornedal
Chris Miller,Mark Christopher
Eric Darnell,Daisy von Scherler Mayer
Bill Condon,Jamie Blanks
Josh Trank,Wil Shriner
Sngmoo Lee,Kaige Chen
Irvin Kershner,Richard Marquand
Baltasar Kormákur,Billy Ray
Joe Roth,Marcos Siega
Jimmy Hayward,Mike Bigelow
Martin Scorsese,David Moreau
M. Night Shyamalan,Ed Decter
Raja Gosnell,David Raynr
Steve Pink,David Wain
NA,Rick Famuyiwa
