source,source_label,target,target_label
192,Will Forte,2203,Bobb'e J. Thompson
193,Denis Leary,2204,Maile Flanagan
194,Adam Scott,1228,Adrian Martinez
195,Bill Murray,288,LL Cool J
23,Leonardo DiCaprio,112,Matt Damon
196,Ming-Na Wen,1812,Harvey Fierstein
24,Robert Downey Jr.,253,Steve Coogan
52,Robin Wright,303,Goran Visnjic
102,Bruce Willis,698,Aldis Hodge
24,Robert Downey Jr.,42,Eddie Marsan
133,Morgan Freeman,262,Ayelet Zurer
197,Leonard Nimoy,2205,Jim Varney
198,Bella Thorne,2206,Joshua Mikel
59,Tom Cruise,387,Tom Wilkinson
199,Adam Sandler,308,Sayed Badreya
16,Peter Dinklage,199,Adam Sandler
200,Haley Joel Osment,1033,William Hurt
201,Marsha Thomason,2207,Rachael Harris
75,Matthew McConaughey,564,Tom Skerritt
202,Greg Grunberg,1431,Kim Dickens
203,Curtiss Cook,2208,George Harris
190,Logan Lerman,1876,Leven Rambin
72,Gerard Butler,63,Angelina Jolie Pitt
116,Daniel Radcliffe,133,Morgan Freeman
204,Alun Armstrong,2209,Michael Byrne
78,Brad Pitt,776,Stephen Dillane
205,Don Cheadle,266,Connie Nielsen
206,Anne Hathaway,1531,Wanda Sykes
89,Robin Williams,51,Oliver Platt
205,Don Cheadle,2210,Anne Heche
45,Harrison Ford,78,Brad Pitt
25,Liam Neeson,2211,Christian Camargo
140,Tim Blake Nelson,2173,Reg E. Cathey
207,William Smith,877,Mako
208,Paddy Considine,751,Bruce McGill
209,Shirley Henderson,129,Nathan Lane
33,Jeff Bridges,582,Michael Angarano
96,Philip Seymour Hoffman,949,Alan Ruck
77,Paul Walker,130,Vin Diesel
36,Tom Hanks,2212,Paul Sanchez
89,Robin Williams,28,Hugh Jackman
112,Matt Damon,953,Joan Allen
45,Harrison Ford,64,Gary Oldman
78,Brad Pitt,88,Bernie Mac
177,Milla Jovovich,190,Logan Lerman
29,Steve Buscemi,199,Adam Sandler
210,Jeff Bennett,2213,Teala Dunn
211,Caroline Dhavernas,2214,Scott Thompson
159,Denzel Washington,35,Ryan Reynolds
176,Ioan Gruffudd,379,Eric Idle
94,Matthew Broderick,2215,Gabourey Sidibe
144,Kate Winslet,298,Rufus Sewell
17,Will Smith,166,Jake Busey
212,Meryl Streep,836,Hunter Parrish
213,Al Pacino,112,Matt Damon
214,Jon Favreau,478,Debra Messing
144,Kate Winslet,286,Theo James
215,Bob Hoskins,2216,Gabriel Thomson
141,Dwayne Johnson,172,Rosario Dawson
216,F. Murray Abraham,2217,Tom Noonan
217,Li Gong,877,Mako
218,Amber Stevens West,2218,Zachery Ty Bryan
54,Jim Broadbent,476,Imelda Staunton
85,Anthony Hopkins,78,Brad Pitt
219,Raymond Cruz,2219,Rick Worthy
220,Roy Scheider,2220,Ben Vereen
221,Julia Roberts,129,Nathan Lane
222,Anna Kendrick,1031,Kieran Culkin
30,Glenn Morshower,2221,Tchéky Karyo
223,Larry Miller,1072,Janet Jackson
224,Sarah Michelle Gellar,933,Linda Cardellini
225,Wood Harris,2222,Jason Cope
199,Adam Sandler,1293,Cameron Monaghan
226,Ted Danson,990,Hal Holbrook
70,Jack McBrayer,151,Sean Hayes
227,Kristen Stewart,566,Hayden Christensen
228,Seth MacFarlane,2223,Iván Kamarás
24,Robert Downey Jr.,43,Jake Gyllenhaal
229,Robert Duvall,314,Michael Rapaport
133,Morgan Freeman,255,Steve Carell
38,Jason Statham,240,Sylvester Stallone
59,Tom Cruise,939,Kristin Scott Thomas
40,Jennifer Lawrence,165,Josh Hutcherson
74,Bradley Cooper,2224,Mason Lee
123,Michael Gough,142,Vincent Schiavelli
102,Bruce Willis,255,Steve Carell
230,Tia Carrere,2225,Jason Scott Lee
29,Steve Buscemi,221,Julia Roberts
133,Morgan Freeman,214,Jon Favreau
102,Bruce Willis,85,Anthony Hopkins
199,Adam Sandler,2226,Steve Reevis
55,Amy Poehler,375,Jesse McCartney
29,Steve Buscemi,199,Adam Sandler
195,Bill Murray,141,Dwayne Johnson
66,Keanu Reeves,214,Jon Favreau
23,Leonardo DiCaprio,2227,Joseph Sikora
214,Jon Favreau,229,Robert Duvall
54,Jim Broadbent,2228,Drew Carey
79,Nicolas Cage,3,CCH Pounder
199,Adam Sandler,668,Carmen Electra
36,Tom Hanks,546,Jennifer Jason Leigh
199,Adam Sandler,754,Bailee Madison
231,Elden Henson,2229,Royce Johnson
29,Steve Buscemi,1077,Monica Potter
172,Rosario Dawson,553,Ethan Embry
96,Philip Seymour Hoffman,134,Natalie Portman
159,Denzel Washington,378,Mila Kunis
89,Robin Williams,2230,Jodi Benson
25,Liam Neeson,277,Lili Taylor
195,Bill Murray,320,Wayne Knight
232,Roger Rees,2231,Henry Czerny
66,Keanu Reeves,67,Jon Hamm
221,Julia Roberts,2232,Alex McArthur
78,Brad Pitt,190,Logan Lerman
45,Harrison Ford,2210,Anne Heche
80,Justin Timberlake,2233,Tom Cavanagh
112,Matt Damon,1007,Charles Napier
172,Rosario Dawson,998,Leslie Bibb
64,Gary Oldman,1033,William Hurt
159,Denzel Washington,332,Dorian Missick
233,Vanessa Redgrave,776,Stephen Dillane
29,Steve Buscemi,199,Adam Sandler
234,Elizabeth Montgomery,1626,Agnes Moorehead
235,Quincy Jones,2234,Penn Jillette
20,Mark Addy,2235,Alan Young
236,Charlize Theron,2236,Mika Boorem
28,Hugh Jackman,205,Don Cheadle
237,Michael Emerson,2237,Nick Chinlund
89,Robin Williams,684,Annabella Sciorra
199,Adam Sandler,175,Jon Lovitz
112,Matt Damon,143,Heath Ledger
134,Natalie Portman,186,Martin Short
238,Nissim Renard,2238,Roxane Duran
85,Anthony Hopkins,258,Harold Perrineau
102,Bruce Willis,673,Devin Ratray
239,Bruce Greenwood,2239,Jon Foster
240,Sylvester Stallone,417,Viggo Mortensen
241,Charlie Rowe,2240,Tiya Sircar
242,Richard Tyson,2209,Michael Byrne
243,Brendan Fraser,2241,Jenna Elfman
244,Fergie,2242,Elio Germano
77,Paul Walker,72,Gerard Butler
245,Olivia Williams,2243,Brian Anthony Wilson
246,Adam Goldberg,650,Elizabeth Daily
130,Vin Diesel,447,Joseph Gilgun
247,Bob Neill,2244,Val Kilmer
248,Mia Farrow,1870,Adam LeFevre
249,Pedro Armendáriz Jr.,711,Jacques Perrin
250,David Oyelowo,2245,Catherine McCormack
251,Sasha Roiz,2246,Currie Graham
252,Sariann Monaco,2247,David Hoffman
246,Adam Goldberg,554,Austin Pendleton
94,Matthew Broderick,129,Nathan Lane
165,Josh Hutcherson,141,Dwayne Johnson
192,Will Forte,2248,Khamani Griffin
96,Philip Seymour Hoffman,85,Anthony Hopkins
9,J.K. Simmons,417,Viggo Mortensen
213,Al Pacino,199,Adam Sandler
77,Paul Walker,815,Cole Hauser
33,Jeff Bridges,185,James Franco
232,Roger Rees,2249,Veronica Cartwright
161,Robert De Niro,87,Janeane Garofalo
253,Steve Coogan,2250,Eric Stonestreet
254,Jason Flemyng,2251,Max Ryan
255,Steve Carell,847,Miranda Cosgrove
17,Will Smith,551,Adam Baldwin
256,Ariana Richards,2252,Richard Schiff
99,Jada Pinkett Smith,357,Cedric the Entertainer
44,Charlie Hunnam,667,Danny Huston
28,Hugh Jackman,1242,Tyler Mane
63,Angelina Jolie Pitt,133,Morgan Freeman
79,Nicolas Cage,283,Michael Biehn
193,Denis Leary,2253,Ray Romano
199,Adam Sandler,2254,Peter Dante
257,Jerry Stiller,2255,Elijah Kelley
109,James D'Arcy,2256,Alan Ford
94,Matthew Broderick,2187,Rene Auberjonois
133,Morgan Freeman,1129,Common
29,Steve Buscemi,199,Adam Sandler
36,Tom Hanks,2257,Chi McBride
258,Harold Perrineau,2258,Matt Ryan
205,Don Cheadle,2259,Kevin Dillon
259,Nicholas Lea,585,Scott Glenn
96,Philip Seymour Hoffman,36,Tom Hanks
161,Robert De Niro,2260,Martin Scorsese
260,Loretta Devine,973,Jennifer Hudson
261,Adam Arkin,2261,Brent Sexton
141,Dwayne Johnson,430,Christina Milian
262,Ayelet Zurer,915,Moritz Bleibtreu
102,Bruce Willis,564,Tom Skerritt
263,Tom Selleck,506,Lisa Ann Walter
13,Henry Cavill,2110,Elizabeth Debicki
199,Adam Sandler,692,Paz Vega
29,Steve Buscemi,371,Jon Heder
102,Bruce Willis,2262,Brían F. O'Byrne
264,Julia Ormond,2263,Ben Cross
265,Bai Ling,2264,Geoffrey Palmer
13,Henry Cavill,1206,Daniel Sharman
58,Jimmy Bennett,102,Bruce Willis
112,Matt Damon,87,Janeane Garofalo
45,Harrison Ford,239,Bruce Greenwood
266,Connie Nielsen,362,Sean Pertwee
267,Christopher Meloni,2265,Kiernan Shipka
243,Brendan Fraser,2266,Bridget Fonda
187,Dennis Quaid,121,Tony Curran
52,Robin Wright,102,Bruce Willis
255,Steve Carell,67,Jon Hamm
67,Jon Hamm,167,Abbie Cornish
79,Nicolas Cage,423,Mike Starr
268,Peter Coyote,2267,James Pickens Jr.
16,Peter Dinklage,91,Josh Gad
75,Matthew McConaughey,170,Ray Winstone
199,Adam Sandler,2268,RZA
83,Jennifer Garner,640,Frances Fisher
169,Will Ferrell,998,Leslie Bibb
269,Raven-Symoné,937,Jeffrey Jones
270,Mhairi Calvey,2269,Patrick McGoohan
43,Jake Gyllenhaal,2270,Brian Geraghty
271,Albert Brooks,2271,Yeardley Smith
272,Martin Landau,990,Hal Holbrook
240,Sylvester Stallone,337,Estella Warren
273,David Gant,2272,Jean-Claude Dreyfus
26,Bryce Dallas Howard,68,Judy Greer
51,Oliver Platt,269,Raven-Symoné
274,Rory Culkin,1672,Merritt Wever
275,Rupert Everett,338,Jennifer Saunders
49,John Ratzenberger,794,Cheech Marin
221,Julia Roberts,267,Christopher Meloni
130,Vin Diesel,2273,Eve
276,Tim Conway,1790,Billy West
277,Lili Taylor,307,Delroy Lindo
128,Michael Fassbender,78,Brad Pitt
89,Robin Williams,221,Julia Roberts
141,Dwayne Johnson,298,Rufus Sewell
102,Bruce Willis,851,John Amos
122,Jeremy Renner,655,Josh Charles
278,Nicole Beharie,2274,Katia Winter
59,Tom Cruise,343,Ivana Milicevic
26,Bryce Dallas Howard,2275,Freddy Rodríguez
279,Sanaa Lathan,108,Colin Salmon
55,Amy Poehler,2276,Bridgit Mendler
67,Jon Hamm,366,Marc Blucas
72,Gerard Butler,133,Morgan Freeman
280,LeVar Burton,2277,Jonathan Frakes
136,Noel Fisher,2278,Jim Parrack
29,Steve Buscemi,1006,Alison Lohman
281,David Hyde Pierce,2279,Peter Gerety
282,Jeremy Irvine,41,Benedict Cumberbatch
195,Bill Murray,112,Matt Damon
283,Michael Biehn,2280,Todd Graff
284,Frank Langella,554,Austin Pendleton
81,Dominic Cooper,1546,Sarah Gadon
159,Denzel Washington,102,Bruce Willis
13,Henry Cavill,2281,David Kelly
78,Brad Pitt,877,Mako
53,Channing Tatum,124,Clint Howard
85,Anthony Hopkins,2282,Brooke Smith
141,Dwayne Johnson,2283,Ben Daniels
285,Gary Cole,2284,Phill Lewis
286,Theo James,530,Stephen Rea
287,James Martin Kelly,2285,Shane Hartline
102,Bruce Willis,815,Cole Hauser
38,Jason Statham,161,Robert De Niro
288,LL Cool J,436,Chris Klein
289,Talisa Soto,2286,Sandrine Holt
133,Morgan Freeman,805,Minnie Driver
290,Ron Howard,2287,Brandy Norwood
291,Lea Michele,51,Oliver Platt
11,Chris Hemsworth,2288,Archie Kao
63,Angelina Jolie Pitt,448,Laurence Olivier
292,Charlotte Rampling,1325,Indira Varma
240,Sylvester Stallone,527,50 Cent
293,Roxanne McKee,1168,Luke Newberry
133,Morgan Freeman,751,Bruce McGill
86,Robert Pattinson,227,Kristen Stewart
161,Robert De Niro,376,Marlon Brando
255,Steve Carell,847,Miranda Cosgrove
294,Vincent Pastore,2289,Robert Blake
25,Liam Neeson,133,Morgan Freeman
295,Max Minghella,2290,Ashraf Barhom
87,Janeane Garofalo,498,Wes Studi
296,Jenna Fischer,2291,Larry Joe Campbell
213,Al Pacino,740,Rip Torn
